project,input_file,fewshot_file,output_file,total_rows_original,test_rows,runs,model,temperature_setting,total_runtime_sec,avg_runtime_sec_per_request,status
appceleratorstudio,../Data/appceleratorstudio.csv,../fewshot_examples/prompt2_count/appceleratorstudio_prompt2_count_fewshot.csv,../Result/deepseek_v4_flash_prompt2_fewshot_count_v7/appceleratorstudio_deepseek_v4_flash_prompt2_fewshot_count_v7.csv,2919,584,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,0.034,0.9738,completed
aptanastudio,../Data/aptanastudio.csv,../fewshot_examples/prompt2_count/aptanastudio_prompt2_count_fewshot.csv,../Result/deepseek_v4_flash_prompt2_fewshot_count_v7/aptanastudio_deepseek_v4_flash_prompt2_fewshot_count_v7.csv,829,166,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,0.0098,0.9764,completed
bamboo,../Data/bamboo.csv,../fewshot_examples/prompt2_count/bamboo_prompt2_count_fewshot.csv,../Result/deepseek_v4_flash_prompt2_fewshot_count_v7/bamboo_deepseek_v4_flash_prompt2_fewshot_count_v7.csv,521,105,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,0.0069,1.1231,completed
clover,../Data/clover.csv,../fewshot_examples/prompt2_count/clover_prompt2_count_fewshot.csv,../Result/deepseek_v4_flash_prompt2_fewshot_count_v7/clover_deepseek_v4_flash_prompt2_fewshot_count_v7.csv,384,77,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,0.005,0.9729,completed
datamanagement,../Data/datamanagement.csv,../fewshot_examples/prompt2_count/datamanagement_prompt2_count_fewshot.csv,../Result/deepseek_v4_flash_prompt2_fewshot_count_v7/datamanagement_deepseek_v4_flash_prompt2_fewshot_count_v7.csv,4667,934,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,0.0553,0.9532,completed
duracloud,../Data/duracloud.csv,../fewshot_examples/prompt2_count/duracloud_prompt2_count_fewshot.csv,../Result/deepseek_v4_flash_prompt2_fewshot_count_v7/duracloud_deepseek_v4_flash_prompt2_fewshot_count_v7.csv,666,134,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,0.0077,0.9587,completed
jirasoftware_filtered,../Data/jirasoftware_filtered.csv,../fewshot_examples/prompt2_count/jirasoftware_filtered_prompt2_count_fewshot.csv,../Result/deepseek_v4_flash_prompt2_fewshot_count_v7/jirasoftware_filtered_deepseek_v4_flash_prompt2_fewshot_count_v7.csv,284,65,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,0.0042,0.9551,completed
mesos,../Data/mesos.csv,../fewshot_examples/prompt2_count/mesos_prompt2_count_fewshot.csv,../Result/deepseek_v4_flash_prompt2_fewshot_count_v7/mesos_deepseek_v4_flash_prompt2_fewshot_count_v7.csv,1680,336,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,0.0211,1.0055,completed
moodle,../Data/moodle.csv,../fewshot_examples/prompt2_count/moodle_prompt2_count_fewshot.csv,../Result/deepseek_v4_flash_prompt2_fewshot_count_v7/moodle_deepseek_v4_flash_prompt2_fewshot_count_v7.csv,1166,234,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,1144.0852,0.9689,completed
mule,../Data/mule.csv,../fewshot_examples/prompt2_count/mule_prompt2_count_fewshot.csv,../Result/deepseek_v4_flash_prompt2_fewshot_count_v7/mule_deepseek_v4_flash_prompt2_fewshot_count_v7.csv,889,178,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,0.0144,0.9731,completed
mulestudio,../Data/mulestudio.csv,../fewshot_examples/prompt2_count/mulestudio_prompt2_count_fewshot.csv,../Result/deepseek_v4_flash_prompt2_fewshot_count_v7/mulestudio_deepseek_v4_flash_prompt2_fewshot_count_v7.csv,732,147,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,0.0096,0.9811,completed
springxd,../Data/springxd.csv,../fewshot_examples/prompt2_count/springxd_prompt2_count_fewshot.csv,../Result/deepseek_v4_flash_prompt2_fewshot_count_v7/springxd_deepseek_v4_flash_prompt2_fewshot_count_v7.csv,3526,706,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,0.0419,0.9691,completed
talenddataquality,../Data/talenddataquality.csv,../fewshot_examples/prompt2_count/talenddataquality_prompt2_count_fewshot.csv,../Result/deepseek_v4_flash_prompt2_fewshot_count_v7/talenddataquality_deepseek_v4_flash_prompt2_fewshot_count_v7.csv,1381,277,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,0.0165,0.9824,completed
talendesb,../Data/talendesb.csv,../fewshot_examples/prompt2_count/talendesb_prompt2_count_fewshot.csv,../Result/deepseek_v4_flash_prompt2_fewshot_count_v7/talendesb_deepseek_v4_flash_prompt2_fewshot_count_v7.csv,868,174,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,0.0108,0.9814,completed
titanium,../Data/titanium.csv,../fewshot_examples/prompt2_count/titanium_prompt2_count_fewshot.csv,../Result/deepseek_v4_flash_prompt2_fewshot_count_v7/titanium_deepseek_v4_flash_prompt2_fewshot_count_v7.csv,2251,451,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,0.0263,1.0149,completed
usergrid,../Data/usergrid.csv,../fewshot_examples/prompt2_count/usergrid_prompt2_count_fewshot.csv,../Result/deepseek_v4_flash_prompt2_fewshot_count_v7/usergrid_deepseek_v4_flash_prompt2_fewshot_count_v7.csv,482,97,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,0.006,2.8387,completed
