model,prompt,metric,project_mean,project_std,projects_available,avg_runs_available
qwen,prompt1_zeroshot,mae,2.942625494244094,1.248073462315444,16,5.0
qwen,prompt1_zeroshot,pearson,0.3510194019624258,0.09946039076743839,16,5.0
qwen,prompt1_zeroshot,rmse,4.645588249262264,2.9562700230099743,16,5.0
qwen,prompt1_zeroshot,spearman,0.3840435423155983,0.10489894676218109,16,5.0
qwen,prompt2_count,mae,2.6286408225033258,1.637575287778725,16,5.0
qwen,prompt2_count,pearson,0.3776362816974351,0.09332102368319989,16,5.0
qwen,prompt2_count,rmse,4.2587503130112,3.331916168799864,16,5.0
qwen,prompt2_count,spearman,0.41399439792678316,0.11883753210630982,16,5.0
qwen,prompt2_scale,mae,3.435521225145394,1.9079983630659823,16,5.0
qwen,prompt2_scale,pearson,0.39360815898077806,0.10959881743918226,16,5.0
qwen,prompt2_scale,rmse,5.371059968630143,3.4533728704001128,16,5.0
qwen,prompt2_scale,spearman,0.42605338317414054,0.12765300828746354,16,5.0
qwen,prompt3_pairwise,accuracy,0.6707948475227643,0.06887081753507882,16,5.0
qwen,prompt4_pairwise_fewshot,mae,2.9645732807552836,1.809641725353061,16,5.0
qwen,prompt4_pairwise_fewshot,pearson,0.2911048672636901,0.08909907355426751,16,5.0
qwen,prompt4_pairwise_fewshot,rmse,4.845584693490266,3.729595465857537,16,5.0
qwen,prompt4_pairwise_fewshot,spearman,0.32096864408072495,0.10105227037757555,16,5.0
